,CompanyName,CompanyNumber,names,roles
2229417,JUPITER US SMALLER COMPANIES PLC,02781968,"['JUPITER ASSET MANAGEMENT LIMITED:', 'BARTON, Malcolm Peter Speight:', 'BOOTH, Lisa Clare:', 'GRENDER, Gordon David:', 'PARRITT, Clive Anthony:', 'SODERLUND-BOLEY, Tina Dolores:', 'WHITE, Stephen Frank:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2230488,JUST BRIDGING LOANS PLC,08508070,"['HEALY, Sarah Leigh:', 'BOOT, George Robert:', 'DAVIES, John Haydn:', 'MCLELLAN, John:']","['Secretary', 'Director', 'Director', 'Director']"
2230596,JUST CASH FLOW PLC,08508165,"['HEALY, Sarah Leigh:', 'DAVIES, John Haydn:', 'MCLELLAN, John:', 'JLG GROUP PLC:']","['Secretary', 'Director', 'Director', 'Director']"
2231062,JUST FINANCE LOANS & INVESTMENTS PLC,08226064,"['HEALY, Sarah Leigh:', 'BOOT, George Robert:', 'DAVIES, John Haydn:']","['Secretary', 'Director', 'Director']"
2231331,JUST GROUP PLC,08568957,"['WATSON, Simon Donald:', 'BISHOP, Paul:', 'CORMACK, Ian Donald:', 'CRACKNELL, Michelle Ann:', 'HASTINGS-BASS, John Peter:', 'MELCHER, Andrew Stephen:', 'NICHOLSON, Keith:', 'PARSONS, Andrew Mark:', 'RICHARDSON, David Louis:', 'SHAH, Kalpana:', 'SPOTTISWOODE, Clare Mary Joan:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2232286,JUST RETIREMENT FINANCE PLC,09297460,"['WATSON, Simon Donald:', 'RAYNER, Christopher Lewis:', 'RICHARDSON, David Louis:']","['Secretary', 'Director', 'Director']"
2234086,JUTURNA (EUROPEAN LOAN CONDUIT NO. 16) PLC,04770247,"['INTERTRUST CORPORATE SERVICES LIMITED:', 'ABRAHAMS, Susan Iris:', 'INTERTRUST DIRECTORS 1 LIMITED:', 'INTERTRUST DIRECTORS 2 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
2235785,JWD CAPITAL PARTNERS PLC,10750691,"['SEABRIDGE, Nigel Paul:', 'KLEINSMAN GLOBAL LLC:']","['Director', 'Director']"
2240914,K L H ELECTRONICS PLC,03534954,"['MORRIS, Carol Ann:', 'MORRIS, Carol Ann:', 'WALKINSHAW, John Thomas:']","['Secretary', 'Director', 'Director']"
2241079,K M CLEANING SERVICES PLC,06056823,"['SAXTON, Timothy Lewis:', 'BROWN, Michael Wain:', 'QUINNELL, Mark Robert:', 'RICE, Kevin Lee:', 'WINTER, Natalie June:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
2241192,K M SECURITY SOLUTIONS PLC,06135891,"['SAXTON, Timothy Lewis:', 'BROWN, Michael Wain:', 'RICE, Kevin Lee:', 'STANGER, Paul Andrew:', 'WINTER, Natalie June:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
2246414,K1 BEER PLC,08137567,"['KEVIN FOROSHANI LTD:', 'FOROSHANI, Keyvan:', 'KEVIN FOROSHANI LTD:']","['Secretary', 'Director', 'Director']"
2246442,K1 GROUP PLC,09952521,"['KEVIN FOROSHANI LTD:', 'FOROSHANI, Keyvan:', 'KEVIN FOROSHANI LTD:']","['Secretary', 'Director', 'Director']"
2247030,K3 BUSINESS TECHNOLOGY GROUP PLC,02641001,"['CURRY, Kevin Joseph:', 'CLAESSON, Per Johan:', 'CRAWFORD, Tom:', 'MANLEY, Jonathan Paul:', 'PRICE, Robert David:', 'SCOTT, Oliver Rupert Andrew:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
2247032,K3 CAPITAL GROUP PLC,06102618,"['MELBOURNE, Andrew Robert:', 'FORD, Anthony John:', 'JACKSON, Carl Stuart:', 'LEES, Stuart:', 'MATTIOLI, Ian Thomas:', 'MELBOURNE, Andrew Robert:', 'RIGBY, John Stephen:', 'ROBINSON, William Martin:', 'STRANNER, Charlotte Alexandra:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2249540,KAEVA PLC,10334412,"['TRUVA CORPORATE ADMINISTRATION LIMITED:', 'DAVIES, David Raymond:', 'HAINES, Kevin Richard:', 'JOHNSON, Roger Daniel Lunn:']","['Secretary', 'Director', 'Director', 'Director']"
2250555,KAINOS GROUP PLC,09579188,"['BURNS, Grainne:', 'BLAIR, Rosaleen:', 'BURNET, Thomas James Wardlaw:', 'COWAN, Christopher Martin:', 'DAVIS, Mary:', 'GANNON, Paul:', 'MALPASS, Andrew:', 'MCCANN, Richard Henry:', 'MOONEY, Brendan:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2253385,KALYPSSO PLC,12004113,"['LAMBERT, Jackie:', 'BLOCK, Garry, Dr:', 'LOCK, James:', 'MARKIZA, Alina, Dr:']","['Secretary', 'Director', 'Director', 'Director']"
2254639,KAMPAC INTERNATIONAL PLC,06715725,"['UK COMPANY SECRETARIES LTD:', 'BARGHOUT, Nicolas:', 'DASH, Kishore Kumar:', 'GUSTAVS, Herdis:']","['Secretary', 'Director', 'Director', 'Director']"
2255020,KANABO GROUP PLC,10485105,"['RUBENSTEIN, Howard:', 'DANINO, Uziel:', 'MORRISON, Andrew John Gowdy:', 'TAMIR, Avihu Israel:', 'TSUR, David:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
2255747,KANEMATSU EUROPE PLC,02346447,"['FUKUDA, Atsushi:', 'FUKUDA, Atsushi:', 'YAMASHINA, Hiroshi:']","['Secretary', 'Director', 'Director']"
2256661,KANYE RESOURCES PLC,13165447,"['FORREST, John Charles:', 'FOSTER, Michael James Elliot:', 'TURNEY, Matthew Benjamin:']","['Secretary', 'Director', 'Director']"
2259934,KARLSHAMNS INTERNATIONAL PLC,02366565,"['TAYLOR, Damian Peter:', 'STEPHENSON, Timothy Andrew:', 'TAYLOR, Damian Peter:']","['Secretary', 'Director', 'Director']"
2259935,KARLSHAMNS UK HOLDINGS PLC,00083553,"['TAYLOR, Damian Peter:', 'STEPHENSON, Timothy Andrew:', 'TAYLOR, Damian Peter:']","['Secretary', 'Director', 'Director']"
2260933,KARTA II PLC,07715233,"['WILMINGTON TRUST SP SERVICES (LONDON) LIMITED:', 'WYNNE, Daniel Jonathan:', 'WILMINGTON TRUST SP SERVICES (LONDON) LIMITED:']","['Secretary', 'Director', 'Director']"
2262957,KATANALOTIKA PLC,06720661,"['WILMINGTON TRUST SP SERVICES (LONDON) LIMITED:', 'KYRIAKOPOULOS, Ioannis:', 'WYNNE, Daniel Jonathan:', 'WILMINGTON TRUST SP SERVICES (LONDON) LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
2264758,KATORO GOLD PLC,09306219,"['HARBER, Ben:', 'CAMPION, Myles Stuart:', 'COETZEE, Louis:', 'DUDLEY, Paul James:', 'MAREE, Lukas Marthinus:', 'SCHEEPERS, Louis:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
2265489,KAVANE PLC,10784333,"['FADLUN, Richard:', 'FADLUN, Richard:', 'LABI, Robert:']","['Secretary', 'Director', 'Director']"
2265493,KAVANGO RESOURCES PLC,10796849,"['FORREST, John Charles:', 'FOSTER, Michael James Elliot:', 'MOLES, Charles Michael:', 'SMITH, David:', 'TURNEY, Matthew Benjamin:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
2267416,KAZ MINERALS FINANCE PLC,06467400,"['FREEMAN, Susanna:', 'HADFIELD, John Paul Simeon:', 'PATON, Andrew John:', 'SOUTHAM, Andrew:']","['Secretary', 'Director', 'Director', 'Director']"
2267419,KAZ MINERALS PLC,05180783,"['FREEMAN, Susanna:', 'ARMSTRONG, Lynda Anne:', 'BAKER, Alison:', 'KIM, Vladimir Sergeivich:', 'LYNCH-BELL, Michael David:', 'MACKENZIE, John Fraser:', 'NOVACHUK, Oleg:', 'SOUTHAM, Andrew:', 'WATSON, Charles Hugh Easton:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2267565,KAZERA GLOBAL PLC,05697574,"['JAMES, Brian:', 'CLARKE, Charles Giles:', 'EDMONDS, Dennis Vernon:', 'HARRISON, John Nicholas:', 'ILUNGA, Odilon:', 'JOHNSON, Larry Freeman:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
2269796,KCA DEUTAG UK FINANCE PLC,09015065,"['BYRNE, Anthony Joseph:', 'BRANSTON, Sean Richard Lawrence:', 'BYRNE, Anthony Joseph:', 'GILCHRIST, Neil Porteous:']","['Secretary', 'Director', 'Director', 'Director']"
2270581,KCR RESIDENTIAL REIT PLC,09080097,"['AZETS (CHBS) LIMITED:', 'BOON, Richard James:', 'NAYLOR, Russell James:', 'THORNTON, James Fitzgerald:', 'WHITE, Dominic Andrew:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
2273775,KEELE RESIDENTIAL FUNDING PLC,03840096,"['WILMINGTON TRUST SP SERVICES (LONDON) LIMITED:', 'DUFFY, Christopher John:', 'WYNNE, Daniel Jonathan:', 'WILMINGTON TRUST SP SERVICES (LONDON) LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
2275199,KEFI GOLD AND COPPER PLC,05976748,"['CARGIL MANAGEMENT SERVICES LIMITED:', 'ANAGNOSTARAS-ADAMS, Aristidis Eleftherios:', 'LEACH, John Edward:', 'LING, Norman Arthur:', 'ROBINSON, Richard Lewin:', 'TAYLOR, Adam Martin:', 'TYLER, Mark Saunders:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2276130,KEITH MICHAELS PLC,02394245,"['BARKER, David:', 'ROBERTS, Andrea Muriel:', 'ROBERTS, Michael Hedley:', 'ROBERY, Jason Brian:']","['Secretary', 'Director', 'Director', 'Director']"
2276751,KELDA FINANCE (NO.3) PLC,08270049,"['SMITH, Katharine Olivia Helen:', 'JOHNS, Christopher Ian:', 'SMITH, Katharine Olivia Helen:']","['Secretary', 'Director', 'Director']"
2277205,KELLER GROUP PLC,02442580,"['PORRITT, Kerry Anne Abigail:', 'BELL, Paula:', 'BURKE, David Anthony:', 'HILL, Peter John:', 'LINDQVIST, Eva:', 'ROCK, Kate Harriet Alexandra:', 'SPEAKMAN, Michael James:', 'TUOR MOORE, Nancy R:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2279130,KEMBLE WATER EUROBOND PLC,05957999,"['BILLETT, Sonia:', 'HUGHES, David Jonathan:', 'BLOCH-HANSEN, Michael David:', 'DE RUN, Hamish Nihal Malcom:', 'DEELEY, Stephen Alan John:', 'DIVOKY, Jerry James:', 'HALL, Alastair Colin:', 'LAMBERT, Guy:', 'MCCOSKER, Peter Joseph:', 'MCNICHOLAS, Michael:', 'NOBLE, Perry Denis:', 'OBOZIAN, Sarah Vartanouche Juliette:', 'PESTRAK, Greg:', 'PHAM, Christy (Nghi Do Truong):', 'SCHMID, Christian Eugen:', 'SHENG, Fuxin:', 'TUCKER, Giles John Julian:', 'WANG, Minzhen:']","['Secretary', 'Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2279165,KEMCO MINING PLC,10613663,"['BOCK, Adrian Lee:', 'HALL, Charles Patrick Stewart:', 'MCNEILLY, David Michael:']","['Secretary', 'Director', 'Director']"
2280809,KENDRICK RESOURCES PLC,02401127,"['BORRELLI, Michael Alexander:', 'BIRD, Colin:', 'THYGESEN, Kjeld Randolph:']","['Secretary', 'Director', 'Director']"
2282564,KENRICK NO. 3 PLC,11001450,"['MAPLES FIDUCIARY SERVICES (UK) LIMITED:', 'LEAHY, Charles Michael:', 'MAPLESFS UK CORPORATE DIRECTOR NO.1 LIMITED:', 'MAPLESFS UK CORPORATE DIRECTOR NO.2 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
2282566,KENRICK NO.4 PLC,11680010,"['MAPLES FIDUCIARY SERVICES (UK) LIMITED:', 'LEAHY, Charles Michael:', 'MAPLESFS UK CORPORATE DIRECTOR NO.1 LIMITED:', 'MAPLESFS UK CORPORATE DIRECTOR NO.2 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
2283266,KENSINGTON SQUARE PLC,08956632,"['CHOUDHURY, Sanawar, Dr:', 'CHOUDHURY, Nasima:', 'CHOUDHURY, Sanawar, Dr:']","['Secretary', 'Director', 'Director']"
2285068,KENTMERE NO.1 PLC,12087159,"['CSC CORPORATE SERVICES (UK) LIMITED:', 'STERNBERG, Aline:', 'CSC DIRECTORS (NO.1) LIMITED:', 'CSC DIRECTORS (NO.2) LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
2285070,KENTMERE NO.2 PLC,12087447,"['CSC CORPORATE SERVICES (UK) LIMITED:', 'STERNBERG, Aline:', 'CSC DIRECTORS (NO.1) LIMITED:', 'CSC DIRECTORS (NO.2) LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
2285417,KENWOOD DAMP-PROOFING P.L.C.,01687851,"['PETRIE, Gary Geoffrey:', 'PETRIE, Gary Geoffrey:', 'PETRIE, Selina:']","['Secretary', 'Director', 'Director']"
2285529,KENYA AIRWAYS PLC,FC009164,"['ARMSTRONG, Caroline Elizabeth:', 'GICHANGI, Michael Kamau, Major Gen:', 'JOSEPH, Michael:', 'KAPKIRWOK, Jason Robinson:', 'KOIMETT, Esther Jepkemboi:', 'MARINGA, Paul Mwangi, Professor:', 'MIKOSZ, Sebastian Piotr:', 'MUSYOKA, Caroline Wangui:', 'OTIENO, Martin Luke Oduor:', 'THUGGE, Kamau, Dr:', 'VEENSTRA, Jozef Bernardus:']","['Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2286262,KERAS RESOURCES PLC,07353748,"['CARGIL MANAGEMENT SERVICES LIMITED:', 'LAMMING, Russell John:', 'MORITZ, Brian Michael:', 'REEVES, David Russell Stuart:']","['Secretary', 'Director', 'Director', 'Director']"
2287038,KERNOW MULTIMEDIA & COMMUNICATIONS PLC,03942677,"['JOSHI, Daxa Harish:', 'JOSHI, Harish Chandra Jugatray:', 'JOSHI, Kumud:']","['Secretary', 'Director', 'Director']"
2290315,KEVIN NASH GROUP PLC,02689107,"['BLAIR, Alan David:', 'NASH, Kevin Robert:', 'NASH, Lee:']","['Director', 'Director', 'Director']"
2293199,KEYPOINT TECHNOLOGIES PLC,09506812,"['WALLER, Peter Charles:', 'MOTAPARTI, Siva Ramavara Prasad:', 'WALLER, Peter Charles:']","['Secretary', 'Director', 'Director']"
2293730,KEYSTONE FINANCING PLC,09069525,"['CHARTERS, Lyn:', 'BEALE, Timothy Mark:', 'PRIEST, Mark Richard:']","['Secretary', 'Director', 'Director']"
2293781,KEYSTONE LAW GROUP PLC,09038082,"['ROBINS, William Geoffrey Michael:', 'KNIGHT, James David:', 'MILLER, Ashley Rupert James Patrick:', 'NAPPER, Isabel Josephine Sutherland:', 'PHILIPS, Simon Robert Maury:', 'WHITING, Peter Frederick:', 'WILLIAMS, Robin George Walton:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2293830,KEYSTONE POSITIVE CHANGE INVESTMENT TRUST PLC,00538179,"['BAILLIE GIFFORD & CO LIMITED:', 'ARMFIELD, Griffiths Ian Ashley:', 'BRADE, Karen Mary:', 'HART, Katrina Harriet:', 'KENDALL, William Bruce:', 'WOOD, Egerton John:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
2294191,KEYWORDS STUDIOS PLC,08548351,"['ONE ADVISORY LIMITED:', 'DAY, Andrew John:', 'FORNAY, Georges Marceau Robert:', 'GINMAN-HORRELL, Maria Charlotta:', 'GRAHAM, Ross King:', 'GUASTALLA, Giorgio:', 'HAUCK, Jonathan Ellis:', 'REEVES, David Alan:', 'SEDLER, Sonia:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2301258,KIER GROUP PLC,02708030,"['HIGGINS, Philip:', 'ATKINSON, Alison Jane:', 'ATKINSON, Justin Richard:', 'DAVIES, Andrew Oswell Bede:', 'KESTERTON, Simon John:', 'LESTER, Matthew John:', 'RABBATTS, Heather Victoria:', 'WATSON, Clive Graeme:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2304003,KILROY PLC,02958271,"['RUSSELL, Andrew:', 'KILROY, Carol Irene:', 'KILROY, Christopher Richard:', 'SYLVESTER KILROY, Catherine Nicola Jane:']","['Secretary', 'Director', 'Director', 'Director']"
2304483,KIMAL GROUP PLC,02377382,"['PRICE, Susan:', 'ECCLES, Stephen Cavan:', 'KNIGHT, Robert John:', 'MAKEMSON, Amanda Sarah:', 'NICHOLSON, Claire Louise:', 'PETTITT, Mark Ronald:', 'PRESS, Alan Christopher:', 'PRESS, Matthew James:', 'PRICE, Susan:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2304486,KIMAL PLC,00827857,"['PRICE, Susan:', 'ECCLES, Stephen Cavan:', 'KNIGHT, Robert John:', 'MAKEMSON, Amanda Sarah:', 'NICHOLSON, Claire Louise:', 'PETTITT, Mark Ronald:', 'PRESS, Alan Christopher:', 'PRESS, Matthew James:', 'PRICE, Susan:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2305281,KIN AND CARTA PLC,01552113,"['FATTAL, Daniel:', 'BELL, David:', 'KERR, John Andrew:', 'KUTSOR, George Chris:', 'MAHER, Michele Nicola:', 'POCKLINGTON, Nigel David:', 'SCHWAN, J:', 'STEVENSON, Helen Claire:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2306548,KINETIC PLC,06545585,"['BETTON, Neil:', 'SMITH, Neil Christian:', 'SMITH, Susan Margaret:']","['Secretary', 'Director', 'Director']"
2308654,KINGFISHER PLC,01664812,"['MOORE, Paul:', 'ARNEY, Claudia Isobel:', 'BOT, Bernard Ladislas:', 'BRADLEY, Catherine Annick Caroline:', 'BUFFIN, Anthony David:', 'CARR, Jeffrey:', 'COSSLETT, Andrew:', 'GARNIER, Thierry:', 'GASPERMENT, Sophie:', 'GOSS-CUSTARD, Rakhi Kishor:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2309074,KINGS ARMS YARD VCT PLC,03139019,"['ALBION CAPITAL GROUP LLP:', 'CHAMBERS, Thomas William:', 'FIELD, Robin Anthony:', 'FIENNES, Martin Guy:', 'WOLLOCOMBE, Fiona Elizabeth:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
2309415,KINGS LETTINGS PLC,02470366,"['BRANDON-KING, Nicholas David:', 'BRANDON-KING, Nicholas David:', 'BRANDON-KING, Oliver James:']","['Secretary', 'Director', 'Director']"
2312847,KINGSWOOD MORTGAGES 2015-1 PLC,09541195,"['INTERTRUST CORPORATE SERVICES LIMITED:', 'ABRAHAMS, Susan Iris:', 'JAFFE, Daniel Marc Richard:', 'INTERTRUST DIRECTORS 1 LIMITED:', 'INTERTRUST DIRECTORS 2 LIMITED:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
2314044,KINTA KELLAS RUBBER ESTATES PLC,00107719,"['UJANG, Norhelza:', 'FOONG MAY, Chim:', 'LEE, Chong Yee:']","['Secretary', 'Director', 'Director']"
2315524,KIRKBY RMBS PLC,11215449,"['INTERTRUST CORPORATE SERVICES LIMITED:', 'WHITAKER, Paivi Helena:', 'INTERTRUST DIRECTORS 1 LIMITED:', 'INTERTRUST DIRECTORS 2 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
2317506,KISTOS PLC,12949154,"['OHS SECRETARIES LIMITED:', 'AUSTIN, Andrew Philip:', 'BARLOW, Julie:', 'BENMORE, Richard Alan:', 'BOOTH, Alan:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
2322911,KLASPAD PLC,10200925,"['STELMASZCZYK, Anna:', 'BANSAL, Ambrish:', 'MIAH, Mohammed Rafique:', 'RAHMAN, Helal:', 'SMITH, Randal Carson, Dr:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
2324058,KLIMVEST PLC,04426643,"['ANDERSON, Randall Keith:', 'BALCAEN, Michel:', 'COATES, Anthony Derek:', 'DUNEAU, Eric:', 'GRIFFITHS, William Paul:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
2325442,KM FACILITIES MANAGEMENT GROUP PLC,09140112,"['SAXTON, Timothy Lewis:', 'BROWN, Michael Wain:', 'RICE, Kevin Lee:']","['Secretary', 'Director', 'Director']"
2328814,KNIGHT PROPERTY GROUP PLC,SC064782,"['BRODIES SECRETARIAL SERVICES LIMITED:', 'ANDERSON, Robert David:', 'BARRACK, James Grieve:', 'CRAWSHAW, Howard Gair:', 'MIDDLETON, Gordon Ian:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
2329452,KNIGHTS GROUP HOLDINGS PLC,11290101,"['BRIDGWOOD, Lisa:', 'BEECH, David Andrew:', 'DOLTON, Stephen:', 'JOHAL, Balbinder Singh:', 'KING, Richard Anthony:', 'LEWIS, Kate Louise:', 'PATEMAN, Jane:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2333245,KODAL MINERALS PLC,07220790,"['WEAVER FINANCIAL LIMITED:', 'AYLWARD, Bernard Micheal:', 'JOSELAND, Charles:', 'WOOLDRIDGE, Robert Ian:', 'ZENG, Qingtao, Dr:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
2333884,KOHTECH MARINE PLC,10386513,"['LEGAL SECRETARIES LTD:', 'KOHFINK, Oliver Dieter:', 'STAEBNER, Nadine Monika:']","['Secretary', 'Director', 'Director']"
2335423,KOMPLI HOLDINGS PLC,10628634,"['WORSLEY, Martin:', 'CHISHTI, Susanne:', 'DAVIES, John Haydn:', 'FRANCIS, Sarah Anne:', 'JEE, Jane Angela:', 'LANGLEY, Timothy Edward:', 'PASHLEY, Martin:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2335698,KONDOR FINANCE PLC,11640019,"['WILMINGTON TRUST SP SERVICES (LONDON) LIMITED:', 'WYNNE, Daniel Jonathan:', 'WILMINGTON TRUST SP SERVICES (LONDON) LIMITED:']","['Secretary', 'Director', 'Director']"
2336969,KOOTH PLC,12526594,"['ALMOND, Richard Douglas:', 'BAILEY, Susan Mary, Dame:', 'BARKER, Tim John:', 'JAWA, Sanjay:', 'PHILIPS, Simon Robert Maury:', 'WHITING, Peter Frederick:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
2337426,KORE POTASH PLC,10933682,"['VOS, Henko:', ""ST JAMES'S CORPORATE SERVICES LIMITED:"", 'HATHORN, David Andrew:', 'KEATING, Timothy:', 'NETHERWAY, David George:', 'REYES PEREZ, Trinidad Maria:', 'SAMPSON, Stuart Bradley:', 'TROLLIP, Jonathan Alfred Grey:']","['Secretary', 'Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2337439,KORE WIRELESS UK PLC,04693714,"['CARGIL MANAGEMENT SERVICES LIMITED:', 'BAHL, Romil:', 'BURSTON, Richard Jacob:', 'JARMAN, Terence James:', 'NICEWICZ JR., Robert Joseph:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
2340292,KPLC CONSULTING LIMITED,05593279,"['COCKS, Peter Neville Gordon:']",['Director']
2340293,KPLC LIMITED,13026425,"['CRAVEN, Kathryn Ann:', 'CRAVEN, Paul:']","['Director', 'Director']"
2340406,KPMG AUDIT PLC,03110745,"['DEAN, Joanne:', 'CATES, Antony George:', 'DEAN, Joanne:', 'HOLT, Jonathan Matthew:']","['Secretary', 'Director', 'Director', 'Director']"
2340442,KPMG UNITED KINGDOM PLC,03513178,"['DEAN, Joanne:', 'BARNICOAT, Edward Neil:', 'DEAN, Joanne:', 'JONES, Timothy Richard:', 'LAMBE, William Anthony:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
2340446,KPMM INVESTMENTS PLC,11553654,"['ENTWISLE, Timothy:', 'ENTWISLE & CO LTD:']","['Secretary', 'Director']"
2341821,KRATOS GROUP PLC,02071700,"['BROOKS, Tony:', 'SHIMAZU, Kozo:', 'TAKASHIMA, Jiro:', 'WAKI, Hiroaki:']","['Secretary', 'Director', 'Director', 'Director']"
2342905,KRINVEST CARE PLC,10997462,"['SATKUNAM, Krishnan, Dr:', 'BALAKRISHNAN, Thavanesan:', 'SATKUNAM, Krishnan Julian, Dr:']","['Secretary', 'Director', 'Director']"
2344109,KRM22 PLC,11231735,"['SUTER, Kim:', 'BRODERICK, Alexander Masson:', 'CASNER, Stephen Douglas:', 'JONES, Garry:', 'SPARKE, Stephen Howard:', 'SUTER, Kim Madoc:', 'TODD, Thomas Keith:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2344282,KROMEK GROUP PLC,08661469,"['FARQUHAR, Paul Neil:', 'BASU, Arnab:', 'BEUMER, Albertus:', 'FARQUHAR, Paul Neil:', 'KINET, Lawrence Henry Neil:', 'SHARMA, Rakesh:', 'WHITINGHAM, Jerel Heath:', 'WILKS, Christopher John:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2344461,KROPZ PLC,11143400,"['SUMMERS, Mark:', 'BEAL, Linda Janice:', 'DAIGLE, Michael:', 'NUNN, Michael:', 'RENWICK, Robin William, Lord:', 'REYNEKE, Machiel Johannes:', 'SUMMERS, Mark:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2348648,KUALA PERGAU RUBBER PLANTATIONS PLC,00284827,"['LONDON REGISTRARS LTD:', 'CHEONG, Mun Hong:', 'KARPIAH, Mugana Kerisnan:', 'LEE, Justin Chung-Shih:']","['Secretary', 'Director', 'Director', 'Director']"
2348649,KUALA SELANGOR RUBBER PLC(THE),00084574,"['UJANG, Norhelza:', 'FOONG MAY, Chim:', 'LEE, Chong Yee:']","['Secretary', 'Director', 'Director']"
2349552,KUFLINK GROUP PLC,09084634,"['SELVAJITH, Balachandran:', 'BINNING, Rawinder Singh:', 'BINNING, Satwinder Singh:', 'CHATTHA, Tejwant Singh:', 'DHILLON, Sukhdev Singh:', 'KHATTOARE, Narinderjit:', 'KISNADWALA, Nayan Vithaldas:', 'RAMAMURTHY, Hariharan:', 'THIND, Balbir Singh:', 'WEEKS, Nattalie Jane:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
2351021,KURE4U PLC,12117572,"['@UKPLC CLIENT SECRETARY LTD:', 'HARDING, Francis Ronald Mark:', 'NEAL, George James:']","['Secretary', 'Director', 'Director']"
2354733,KYOWA KIRIN INTERNATIONAL PLC,SC198780,"['REISINGER, Roswitha:', 'ARISTIDOU, Antrinkos Andrew:', 'EBSWORTH, David Raymond, Dr:', 'FUJII, Hirohisa:', 'FURUYA, Yoshihiro:', 'GRANATA, Francesco, Dr:', 'MIKAYAMA, Toshifumi, Dr:', 'MULLICK, Abdul Hafeez:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
